sample_id,v0_label_peak_keep_ratio,v01_label_peak_keep_ratio,v0_label_peak_error_pred,v01_label_peak_error_pred,v0_pred_noise_floor,v01_pred_noise_floor
1636,0.6943208448758675,0.8726732588464288,295.2133425880352,122.9673408431238,289.5992234363022,361.7720709356386
313,0.8558430017136507,0.9864742847860846,177.16810920614648,16.623025025467086,108.29551982577527,117.50979656971226
60,0.712733502578791,0.957273699255498,299.2585723959611,176.02962400866932,293.48601318723234,370.0672727593366
1805,0.8793202074909715,0.9909417035187095,137.30053833742875,10.305859476914293,112.23871728487174,117.51273323535288
490,0.7790468457205347,0.8706474814540028,295.9001397446908,173.22870288458014,235.47922949272473,265.5334927437175
1875,0.7740822540471167,0.8924466404001709,208.79210812684153,99.40030426673968,184.56793277513395,206.17081855664424
155,0.872665481500773,0.9744692845318224,130.8383524171221,26.23323814513799,6.687120519374484,11.940222793049532
1519,0.8098153184215019,0.9113278512140122,195.78161916972192,91.28167800104211,11.530004057440278,18.51909387754744
4,0.7024394890368039,0.8074443918922538,239.2866509094503,154.84577045787543,190.2841069036777,220.80382102533196
1750,0.830208921640774,0.9108173825108374,174.84090889949357,91.83503662572605,60.125057535687915,61.81366410250237
